sõna,sihtsünohulk,suhtesoovitused,sihtsünohulga definitsioon,suhtega seotud soovitused
AADRESS,IP-aadress.n.01,"{""Synset('sõlmeaadress.n.01')""}","IP-protokolliga määratletud 32-bitine (IPv6 korral 128-bitine) sõlmeaadress, harilikult punktaadressina",set()
AAS,patentsilmus.n.01,"{""Synset('parempidisilm.n.01')"", ""Synset('õhksilmus.n.01')""}",parempidisilmus koos õhksilmusega tema kohal (EKSS),set()
AASTAAEG,suvi.n.01,"{""Synset('sügis.n.01')"", ""Synset('kevad.n.01')""}",kevade ja sügise vaheline aastaaeg (EKSS),set()
AASTAAEG,kevad.n.01,"{""Synset('talv.n.01')"", ""Synset('suvi.n.01')""}",talve ja suve vaheline aastaaeg,set()
AASTAAEG,sügis.n.01,"{""Synset('talv.n.01')"", ""Synset('suvi.n.01')""}",suve ja talve vaheline aastaaeg (EKSS),set()
ABI,majandusabi.n.01,"{""Synset('kaasabi.n.01')"", ""Synset('toetus.n.02')""}","mingile riigile, selle rahvastiku teatavale osale või teatavate piirkondade rahvale teiste riikide või rahvusvaheliste ühiskondlike organisatsioonide poolt antav toetus, mis seisneb teatavate rahasummade loovutamises kas saaja majandusliku olukorra parandamiseks või maksebilansi defitsiidi katteks",set()
ADER,konksader.n.01,"{""Synset('seanina.n.01')""}",vannasadrast püstakama vandaga ader (EKSS),set()
AED,varbaed.n.01,"{""Synset('sulg.n.01')""}",,set()
AED,hekk.n.01,"{""Synset('sulg.n.01')""}","tihe, hrl. pöetav, ühtlaste vahedega põõsaste v. puude rida (tuule, tolmu, lume tõkestamiseks vm. otstarbeks), elavtara.",set()
AED,karjaõu.n.01,"{""Synset('sulg.n.01')""}",,set()
AED,metsataimla.n.01,"{""Synset('taimla.n.01')""}","Puude ja põõsaste seemikute ja istikute kasvatamise maa-ala, taimeaed (EKSS)",set()
AED,boskett.n.01,"{""Synset('parter.n.01')""}","tiheda metsataolise puistuga ala või tihnik barokses aias, tavapäraselt parteri lähedal; korrapärases iluaias v pargis osaliselt v täielikult pügatud puudest v põõsastest kompaktne mahulis-ruumiline kompositsioonielement",set()
AEG,koordineeritud maailmaaeg.n.01,"{""Synset('maailmaaeg.n.01')""}","koordineerimine seisneb siin selles, et ühtulsaja erinevus keskmisest päikeseajast (GMT) hoitakse alla 1 sekundi",set()
AEG,igavik.n.01,"{""Synset('lõpp.n.02')""}",alguse ja lõputa aeg,set()
AEG,õitseaeg.n.01,"{""Synset('etapp.n.01')""}","kõrgtasemel olek, kiire edenemise ja arengu järk",set()
AEG,päev.n.02,"{""Synset('etapp.n.01')""}",teatud eripära v. tähendusega hetk v. periood ajas,set()
AEG,ajapikendus.n.01,"{""Synset('tähtaeg.n.01')""}","millegi tähtaja, eriti sõjaväeteenistusse astumise tähtaja pikendus (halastusest antud) lisaaeg",set()
AEG,hädaaeg.n.01,"{""Synset('päev.n.02')""}",,set()
AEG,töövõimeaeg.n.01,"{""Synset('kord.n.04')""}","aeg, mille kestel arvuti- või sidesüsteem on töökorras",set()
AEG,ajastu.n.01,"{""Synset('etapp.n.01')""}",(märkimisväärne) periood ajaloos,set()
AEG,söögiaeg.n.01,"{""Synset('kord.n.04')""}","toiduportsjonid, mida serveeritakse ja süüakse samal ajal",set()
AEG,tähtaeg.n.01,"{""Synset('päev.n.02')""}","määratud ajavahemik v. ajahetk (kuupäev, nädalapäev, kellaaeg vm.); jur. määratud ajavahemik (EKSS)",set()
AEG,hingedeaeg.n.01,"{""Synset('päev.n.02')""}",eesti rahvausundis surnute mälestamisele pühendatud aeg (hrl. mihkli- ja mardipäeva vahel),set()
AHVATLEMA,kiskuma.v.05,"{""Synset('tõmbama.v.04')""}","vastupandamatult, tugevasti kuhugi v. midagi tegema ahvatlema, tõmbama",set()
AINE,tööpsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}","psühholoogia haru, mis käsitleb inimpsüühikat seoses tööga (EKSS)",set()
AINE,seksuaalpsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}","psühholoogia valdkond, mis uurib seksuaalkäitumist ja seksuaalhäirete põhjusi","{""Synset('psühholoogia.n.01')""}"
AINE,geomorfoloogia.n.01,"{""Synset('morfoloogia.n.02')""}","maismaa ja merepõhja pinnavorme, nende levikut, tekkimist ning kujunemist uuriv teadus",set()
AINE,merebioloogia.n.01,"{""Synset('hüdrobioloogia.n.01')""}",merede hüdrobioloogia (EKSS),"{""Synset('hüdrobioloogia.n.01')""}"
AINE,usundipsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}","psühholoogia haru, mis käsitleb inimpsüühikat seoses usundiga (EKSS)",set()
AINE,pedoloogia.n.02,"{""Synset('pedagoogika.n.01')""}",teat. eksperimentidel põhinenud lapse arengu uurimise suund pedagoogikas,"{""Synset('pedagoogika.n.01')""}"
AINE,morfofonoloogia.n.01,"{""Synset('fonoloogia.n.01')"", ""Synset('morfoloogia.n.02')""}",fonoloogiat ja morfoloogiat seostav grammatika osa (EKSS),set()
AINE,papüroloogia.n.01,"{""Synset('abiteadus.n.01')""}",papüürusele kirjutatud tekste uuriv ajaloo abiteadus,set()
AINE,süvapsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}","vool psühholoogias, mis peab inimese hingeelu ja käitumise peamiseks suunajaks alateadvust","{""Synset('psühholoogia.n.01')""}"
AINE,mikropaleontoloogia.n.01,"{""Synset('paleontoloogia.n.01')""}",mikroskoopiliste organismide kivistisi uuriv paleontoloogia haru (EKSS),set()
AINE,kunstipsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}",esteetilisi elamusi ja kunstiloomingu protsessi uuriv psühholoogia haru (EKSS),set()
AINE,pulmonoloogia.n.01,"{""Synset('meditsiin.n.01')""}","meditsiini haru, mis uurib hingamiselundite ehitust, talitlust ja nende haiguste diagnoosimist, profülaktikat ning ravi","{""Synset('meditsiin.n.01')""}"
AINE,seroloogia.n.01,"{""Synset('meditsiin.n.01')""}",õpetus vereseerumi omadustest ja selle rakendamisest arstiteaduses,"{""Synset('meditsiin.n.01')""}"
AINE,toitumisökoloogia.n.01,"{""Synset('zooökoloogia.n.01')""}","loomade toiduvalikut, toiduhankimisviise jne. uuriv loomaökoloogia haru (EKSS)",set()
AINE,patopsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}","psühholoogiateaduse haru, mis uurib inimese psüühika hälbeid","{""Synset('psühholoogia.n.01')""}"
AINE,kristoloogia.n.01,"{""Synset('teoloogia.n.01')""}",Jeesuse Kristuse isikut käsitlev kristliku teoloogia osa (EKSS),set()
AINE,oftalmoloogia.n.01,"{""Synset('meditsiin.n.01')""}",silmahaiguste õpetus (EKSS),set()
AINE,paleozooloogia.n.01,"{""Synset('paleontoloogia.n.01')""}",väljasurnud loomorganisme uuriv teadus (EKSS),set()
AINE,massipsühholoogia.n.01,"{""Synset('psühholoogia.n.01')""}","sotsiaalpsühholoogia valdkond, mis uurib rahvahulga psüühikat (EKSS)",set()
AINE,historiograafia.n.02,"{""Synset('ajalooteadus.n.01')""}",teadus ajalooteaduste arengust,"{""Synset('ajalooteadus.n.01')""}"
